('http://www.songlyrics.com/shinedown/second-chance-lyrics/', '2009')
('http://www.songlyrics.com/miley-cyrus/party-in-the-usa-lyrics/', '2009')
('http://www.songlyrics.com/drake/best-i-ever-had-lyrics/', '2009')
('http://www.songlyrics.com/3oh!3/don-t-trust-me-lyrics/', '2009')
('http://www.songlyrics.com/katy-perry/hot-n-cold-lyrics/', '2009')
('http://www.songlyrics.com/kid-cudi/day-n-nite-lyrics/', '2009')
('http://www.songlyrics.com/miley-cyrus/the-climb-lyrics/', '2009')
('http://www.songlyrics.com/beyonce-knowles/halo-lyrics/', '2009')
('http://www.songlyrics.com/britney-spears/circus-lyrics/', '2009')
('http://www.songlyrics.com/jeremih/birthday-sex-lyrics/', '2009')
('http://www.songlyrics.com/jason-derulo/whatcha-say-lyrics/', '2009')
('http://www.songlyrics.com/jay-z/run-this-town-lyrics/', '2009')
('http://www.songlyrics.com/pink/sober-lyrics/', '2009')
('http://www.songlyrics.com/lady-gaga/lovegame-lyrics/', '2009')
('http://www.songlyrics.com/kevin-rudolf/let-it-rock-lyrics/', '2009')
('http://www.songlyrics.com/britney-spears/womanizer-lyrics/', '2009')
('http://www.songlyrics.com/katy-perry/waking-up-in-vegas-lyrics/', '2009')
('http://www.songlyrics.com/sean-kingston/fire-burning-lyrics/', '2009')
('http://www.songlyrics.com/t-i/whatever-you-like-lyrics/', '2009')
('http://www.songlyrics.com/ne-yo/mad-lyrics/', '2009')
('http://www.songlyrics.com/mariah-carey/obsessed-lyrics/', '2009')
('http://www.songlyrics.com/kanye-west/love-lockdown-lyrics/', '2009')
('http://www.songlyrics.com/cobra-starship/good-girls-go-bad-lyrics/', '2009')
('http://www.songlyrics.com/pitbull/hotel-room-service-lyrics/', '2009')
('http://www.songlyrics.com/pink/so-what-lyrics/', '2009')
('http://www.songlyrics.com/beyonce-knowles/if-i-were-a-boy-lyrics/', '2009')
('http://www.songlyrics.com/eminem/crack-a-bottle-lyrics/', '2009')
('http://www.songlyrics.com/pussycat-dolls/i-hate-this-part-lyrics/', '2009')
('http://www.songlyrics.com/keri-hilson/turnin-me-on-lyrics/', '2009')
('http://www.songlyrics.com/akon/right-now-na-na-na-lyrics/', '2009')
('http://www.songlyrics.com/pink/please-don-t-leave-me-lyrics/', '2009')
('http://www.songlyrics.com/akon/beautiful-lyrics/', '2009')
('http://www.songlyrics.com/lady-gaga/paparazzi-lyrics/', '2009')
('http://www.songlyrics.com/nickelback/gotta-be-somebody-lyrics/', '2009')
('http://www.songlyrics.com/flo-rida/sugar-lyrics/', '2009')
('http://www.songlyrics.com/coldplay/viva-la-vida-lyrics/', '2009')
('http://www.songlyrics.com/owl-city/fireflies-lyrics/', '2009')
('http://www.songlyrics.com/jordin-sparks/battlefield-lyrics/', '2009')
('http://www.songlyrics.com/ne-yo/miss-independent-lyrics/', '2009')
('http://www.songlyrics.com/daughtry/no-surprise-lyrics/', '2009')
('http://www.songlyrics.com/linkin-park/new-divide-lyrics/', '2009')
('http://www.songlyrics.com/colbie-caillat/fallin-for-you-lyrics/', '2009')
